stage17_run_id,cell_index,cell_id,fidelity_numerator,fidelity_denominator,distinctness_numerator,distinctness_denominator,transfer_execution_mode,source_stage,source_run_id,circuit_id,q1_fidelity,q2_fidelity,q3_fidelity,q4_fidelity,q1_accuracy,q2_accuracy,q3_accuracy,q4_accuracy,q1_cross_entropy,q2_cross_entropy,q3_cross_entropy,q4_cross_entropy,q1_kl_divergence,q2_kl_divergence,q3_kl_divergence,q4_kl_divergence,q1_jensen_shannon_divergence,q2_jensen_shannon_divergence,q3_jensen_shannon_divergence,q4_jensen_shannon_divergence
stage17-sensitivity-s1-7801e7938531,1,s1-step9050-f4of5-d1of4,4,5,1,4,fresh_execution,,,C1,0.8242536164973838,0.8295739348370927,0.8292606516290727,0.7190688775510204,0.8230224684518314,0.8295739348370927,0.8292606516290727,0.7190688775510204,0.5703096366513785,0.5677980161600353,0.5676859268784965,0.8759587489709925,0.5650870101340315,0.5648718978153804,0.5647983289001813,0.8724682021607824,0.1517530146702061,0.15648754912240578,0.1564544937108169,0.21498257944742308
stage17-sensitivity-s1-7801e7938531,1,s1-step9050-f4of5-d1of4,4,5,1,4,fresh_execution,,,C2,0.8184056632810095,0.8220551378446115,0.8242481203007519,0.7388392857142857,0.8177900892582333,0.8220551378446115,0.8242481203007519,0.7388392857142857,0.6850475570929465,0.6954240015025165,0.6918092135067109,0.8769482006194137,0.679661704803663,0.6919444934813289,0.6884072886820277,0.8732801888468296,0.18056603764743587,0.1863200775141694,0.185325140681196,0.21665330764447352
stage17-sensitivity-s1-7801e7938531,1,s1-step9050-f4of5-d1of4,4,5,1,4,fresh_execution,,,C3,0.7897814712219144,0.8088972431077694,0.8092105263157895,0.7927295918367347,0.7900892582333026,0.8088972431077694,0.8092105263157895,0.7920918367346939,0.6951208348871116,0.6673548744813325,0.6657655404980327,0.723464391064616,0.6907542599950148,0.6642180332742271,0.6625878580413511,0.7197820459083715,0.18351234679078024,0.17968989213358372,0.17925224034381226,0.1906999540227825
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,1,2,fresh_execution,,,C1,0.8242536164973838,0.8295739348370927,0.8292606516290727,0.7190688775510204,0.8230224684518314,0.8295739348370927,0.8292606516290727,0.7190688775510204,0.5703096366513785,0.5677980161600353,0.5676859268784965,0.8759587489709925,0.5650870101340315,0.5648718978153804,0.5647983289001813,0.8724682021607824,0.1517530146702061,0.15648754912240578,0.1564544937108169,0.21498257944742308
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,1,2,fresh_execution,,,C2,0.8184056632810095,0.8220551378446115,0.8242481203007519,0.7388392857142857,0.8177900892582333,0.8220551378446115,0.8242481203007519,0.7388392857142857,0.6850475570929465,0.6954240015025165,0.6918092135067109,0.8769482006194137,0.679661704803663,0.6919444934813289,0.6884072886820277,0.8732801888468296,0.18056603764743587,0.1863200775141694,0.185325140681196,0.21665330764447352
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,1,2,fresh_execution,,,C3,0.7897814712219144,0.8088972431077694,0.8092105263157895,0.7927295918367347,0.7900892582333026,0.8088972431077694,0.8092105263157895,0.7920918367346939,0.6951208348871116,0.6673548744813325,0.6657655404980327,0.723464391064616,0.6907542599950148,0.6642180332742271,0.6625878580413511,0.7197820459083715,0.18351234679078024,0.17968989213358372,0.17925224034381226,0.1906999540227825
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,1,2,fresh_execution,,,C4,0.8291782086795937,0.8057644110275689,0.8057644110275689,0.7621173469387755,0.8279470606340412,0.8057644110275689,0.8057644110275689,0.7621173469387755,0.6171651440833323,0.6951127240510372,0.6920580746119598,0.8018580489153873,0.6129925666562214,0.6921401775055103,0.6891241823141103,0.7985577627796931,0.16764426497431045,0.18556499251296582,0.18479907660147624,0.20200630113545137
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,1,2,fresh_execution,,,C5,0.8100954139735304,0.8038847117794486,0.8057644110275689,0.782844387755102,0.8100954139735304,0.8038847117794486,0.8057644110275689,0.782844387755102,0.6578544308753512,0.6749163343912167,0.6715535290717626,0.7396376280547122,0.6541270369157639,0.6714040759319309,0.6679866458533225,0.7364682029633699,0.17478366642712856,0.1803550672333116,0.17959706917728435,0.19338213024223813
stage17-sensitivity-s1-7801e7938531,2,s1-step9050-f4of5-d1of2,4,5,1,2,fresh_execution,,,C6,0.8088642659279779,0.8157894736842105,0.8161027568922306,0.7611607142857143,0.8076331178824253,0.8157894736842105,0.8161027568922306,0.7611607142857143,0.6597152944619309,0.6553850245735814,0.6534815142671537,0.8259526673602281,0.6546863520759859,0.6516004372765781,0.6496794625451084,0.821175196431647,0.177649584712097,0.17864302358697146,0.17819318497963546,0.21160095856273808
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,4,5,3,4,fresh_execution,,,C1,0.8242536164973838,0.8295739348370927,0.8292606516290727,0.7190688775510204,0.8230224684518314,0.8295739348370927,0.8292606516290727,0.7190688775510204,0.5703096366513785,0.5677980161600353,0.5676859268784965,0.8759587489709925,0.5650870101340315,0.5648718978153804,0.5647983289001813,0.8724682021607824,0.1517530146702061,0.15648754912240578,0.1564544937108169,0.21498257944742308
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,4,5,3,4,fresh_execution,,,C2,0.8184056632810095,0.8220551378446115,0.8242481203007519,0.7388392857142857,0.8177900892582333,0.8220551378446115,0.8242481203007519,0.7388392857142857,0.6850475570929465,0.6954240015025165,0.6918092135067109,0.8769482006194137,0.679661704803663,0.6919444934813289,0.6884072886820277,0.8732801888468296,0.18056603764743587,0.1863200775141694,0.185325140681196,0.21665330764447352
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,4,5,3,4,fresh_execution,,,C3,0.7897814712219144,0.8088972431077694,0.8092105263157895,0.7927295918367347,0.7900892582333026,0.8088972431077694,0.8092105263157895,0.7920918367346939,0.6951208348871116,0.6673548744813325,0.6657655404980327,0.723464391064616,0.6907542599950148,0.6642180332742271,0.6625878580413511,0.7197820459083715,0.18351234679078024,0.17968989213358372,0.17925224034381226,0.1906999540227825
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,4,5,3,4,fresh_execution,,,C4,0.8291782086795937,0.8057644110275689,0.8057644110275689,0.7621173469387755,0.8279470606340412,0.8057644110275689,0.8057644110275689,0.7621173469387755,0.6171651440833323,0.6951127240510372,0.6920580746119598,0.8018580489153873,0.6129925666562214,0.6921401775055103,0.6891241823141103,0.7985577627796931,0.16764426497431045,0.18556499251296582,0.18479907660147624,0.20200630113545137
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,4,5,3,4,fresh_execution,,,C5,0.8100954139735304,0.8038847117794486,0.8057644110275689,0.782844387755102,0.8100954139735304,0.8038847117794486,0.8057644110275689,0.782844387755102,0.6578544308753512,0.6749163343912167,0.6715535290717626,0.7396376280547122,0.6541270369157639,0.6714040759319309,0.6679866458533225,0.7364682029633699,0.17478366642712856,0.1803550672333116,0.17959706917728435,0.19338213024223813
stage17-sensitivity-s1-7801e7938531,3,s1-step9050-f4of5-d3of4,4,5,3,4,fresh_execution,,,C6,0.8088642659279779,0.8157894736842105,0.8161027568922306,0.7611607142857143,0.8076331178824253,0.8157894736842105,0.8161027568922306,0.7611607142857143,0.6597152944619309,0.6553850245735814,0.6534815142671537,0.8259526673602281,0.6546863520759859,0.6516004372765781,0.6496794625451084,0.821175196431647,0.177649584712097,0.17864302358697146,0.17819318497963546,0.21160095856273808
